valeur_fonciere,surface_reelle_bati,type_local,nom_commune,code_departement,latitude,longitude,prix_m2,annee
220960.0,96.0,Maison,Rives-En-Seine,76,49.502612,0.640503,2301.6666666666665,2023
80000.0,80.0,Maison,Neuvic-Entier,87,45.732316,1.66594,1000.0,2023
155000.0,88.0,Maison,Saint-Saire,76,49.684416,1.490585,1761.3636363636363,2023
126400.0,70.0,Maison,Saint-Doulchard,18,47.109657,2.372597,1805.7142857142858,2023
478350.0,40.0,Appartement,Paris 2E Arrondissement,75,48.86669,2.351653,11958.75,2023
200000.0,35.0,Appartement,Villeurbanne,69,45.763743,4.875365,5714.285714285715,2023
98680.0,47.0,Appartement,Dreux,28,48.730311,1.365556,2099.574468085106,2023
103000.0,49.0,Appartement,Douai,59,50.37414,3.073966,2102.0408163265306,2023
200000.0,40.0,Maison,Sannois,95,48.964049,2.266251,5000.0,2023
412500.0,86.0,Maison,Hondschoote,59,50.952985,2.625228,4796.511627906977,2023
570050.0,70.0,Appartement,Courbevoie,92,48.90226,2.272113,8143.571428571428,2023
200000.0,114.0,Maison,Veuzain-Sur-Loire,41,47.515964,1.159441,1754.3859649122808,2023
946000.0,113.0,Appartement,Antony,92,48.759365,2.300886,8371.681415929204,2023
82000.0,44.0,Appartement,L'Isle-D'Espagnac,16,45.658724,0.194805,1863.6363636363637,2023
79000.0,73.0,Maison,La Tour-Saint-Gelin,37,47.056779,0.407598,1082.1917808219177,2023
225000.0,75.0,Appartement,Drancy,93,48.928963,2.435197,3000.0,2023
160120.0,103.0,Maison,Montigny-Les-Monts,10,48.098411,3.950815,1554.5631067961165,2023
250000.0,23.0,Maison,Voillecomte,52,48.505611,4.868617,10869.565217391304,2023
149000.0,80.0,Maison,Abbeville,80,50.121123,1.813965,1862.5,2023
170000.0,100.0,Maison,Camembert,61,48.902265,0.193954,1700.0,2023
189000.0,147.0,Maison,Hermanville,76,49.819043,0.98896,1285.7142857142858,2023
300000.0,118.0,Maison,Yenne,73,45.70397,5.766058,2542.3728813559323,2023
70000.0,18.0,Appartement,Drancy,93,48.918034,2.448352,3888.8888888888887,2023
